week,problem_category,reports
2026-06-29,Database & Performance,4
2026-06-29,Deployment & CI,2
2026-06-29,Employee Approvals,8
2026-06-29,Internal Communication,2
2026-06-29,Inventory & Synchronization,6
2026-06-29,Meeting Room Management,5
2026-06-29,Network & VPN,7
2026-06-29,Payments & Checkout,5
2026-06-29,Product & UI Usability,3
2026-06-29,Security & Authentication,5
2026-07-06,Database & Performance,8
2026-07-06,Deployment & CI,11
2026-07-06,Employee Approvals,11
2026-07-06,Internal Communication,9
2026-07-06,Inventory & Synchronization,10
2026-07-06,Meeting Room Management,11
2026-07-06,Network & VPN,14
2026-07-06,Payments & Checkout,7
2026-07-06,Product & UI Usability,3
2026-07-06,Security & Authentication,11
2026-07-13,Database & Performance,9
2026-07-13,Deployment & CI,7
2026-07-13,Employee Approvals,5
2026-07-13,Internal Communication,10
2026-07-13,Inventory & Synchronization,13
2026-07-13,Meeting Room Management,5
2026-07-13,Network & VPN,8
2026-07-13,Payments & Checkout,13
2026-07-13,Product & UI Usability,8
2026-07-13,Security & Authentication,10
2026-07-20,Database & Performance,9
2026-07-20,Deployment & CI,7
2026-07-20,Employee Approvals,8
2026-07-20,Internal Communication,9
2026-07-20,Inventory & Synchronization,7
2026-07-20,Meeting Room Management,11
2026-07-20,Network & VPN,13
2026-07-20,Payments & Checkout,11
2026-07-20,Product & UI Usability,9
2026-07-20,Security & Authentication,8
2026-07-27,Database & Performance,12
2026-07-27,Deployment & CI,6
2026-07-27,Employee Approvals,11
2026-07-27,Internal Communication,5
2026-07-27,Inventory & Synchronization,8
2026-07-27,Meeting Room Management,10
2026-07-27,Network & VPN,7
2026-07-27,Payments & Checkout,14
2026-07-27,Product & UI Usability,11
2026-07-27,Security & Authentication,7
2026-08-03,Database & Performance,6
2026-08-03,Deployment & CI,14
2026-08-03,Employee Approvals,7
2026-08-03,Internal Communication,7
2026-08-03,Inventory & Synchronization,14
2026-08-03,Meeting Room Management,11
2026-08-03,Network & VPN,8
2026-08-03,Payments & Checkout,6
2026-08-03,Product & UI Usability,9
2026-08-03,Security & Authentication,9
2026-08-10,Database & Performance,10
2026-08-10,Deployment & CI,6
2026-08-10,Employee Approvals,14
2026-08-10,Internal Communication,15
2026-08-10,Inventory & Synchronization,9
2026-08-10,Meeting Room Management,9
2026-08-10,Network & VPN,9
2026-08-10,Payments & Checkout,14
2026-08-10,Product & UI Usability,7
2026-08-10,Security & Authentication,13
2026-08-17,Database & Performance,3
2026-08-17,Deployment & CI,11
2026-08-17,Employee Approvals,11
2026-08-17,Internal Communication,9
2026-08-17,Inventory & Synchronization,11
2026-08-17,Meeting Room Management,11
2026-08-17,Network & VPN,11
2026-08-17,Payments & Checkout,13
2026-08-17,Product & UI Usability,6
2026-08-17,Security & Authentication,7
2026-08-24,Database & Performance,7
2026-08-24,Deployment & CI,7
2026-08-24,Employee Approvals,14
2026-08-24,Internal Communication,8
2026-08-24,Inventory & Synchronization,11
2026-08-24,Meeting Room Management,15
2026-08-24,Network & VPN,8
2026-08-24,Payments & Checkout,12
2026-08-24,Product & UI Usability,6
2026-08-24,Security & Authentication,11
2026-08-31,Database & Performance,9
2026-08-31,Deployment & CI,5
2026-08-31,Employee Approvals,9
2026-08-31,Internal Communication,9
2026-08-31,Inventory & Synchronization,9
2026-08-31,Meeting Room Management,10
2026-08-31,Network & VPN,14
2026-08-31,Payments & Checkout,7
2026-08-31,Product & UI Usability,16
2026-08-31,Security & Authentication,11
2026-09-07,Database & Performance,5
2026-09-07,Deployment & CI,13
2026-09-07,Employee Approvals,8
2026-09-07,Internal Communication,22
2026-09-07,Inventory & Synchronization,10
2026-09-07,Meeting Room Management,6
2026-09-07,Network & VPN,13
2026-09-07,Payments & Checkout,7
2026-09-07,Product & UI Usability,9
2026-09-07,Security & Authentication,6
