record_id,date,department,description,cluster,semantic_cluster,problem_category,week
OP0995,2026-07-01,Facilities,meeting-space bookings are frequently causing scheduling conflicts after a recent update. several users have described similar behavior.,7,8,Meeting Room Management,2026-06-29
OP0687,2026-07-01,Communication,project information is scattered across multiple channels during normal business hours. the issue was reported by several employees.,4,9,Internal Communication,2026-06-29
OP0005,2026-07-01,Facilities,conference rooms appear double-booked when workload increases. the team has requested investigation.,7,8,Meeting Room Management,2026-06-29
OP0052,2026-07-01,Facilities,meeting rooms are unavailable despite being reserved near the end of the workday. the team says it is affecting productivity.,7,8,Meeting Room Management,2026-06-29
OP0498,2026-07-01,IT,employees experience repeated network timeouts during the morning. the problem has occurred repeatedly this week.,6,7,Network & VPN,2026-06-29
OP0193,2026-07-01,Security,accounts are generating unexpected security alerts when workload increases. the problem is causing delays for routine work.,2,3,Security & Authentication,2026-06-29
OP0525,2026-07-01,Security,users report suspicious authentication activity during the afternoon. the problem has occurred repeatedly this week.,7,3,Security & Authentication,2026-06-29
OP0646,2026-07-01,Product,the redesigned interface is increasing task completion time during peak usage. the issue was noticed during normal operations.,5,1,Product & UI Usability,2026-06-29
OP0484,2026-07-02,Database,applications intermittently fail when accessing stored data when workload increases. the problem is still occurring.,9,0,Database & Performance,2026-06-29
OP0788,2026-07-02,Customer Support,customers receive errors while completing purchases after a recent update. the team says it is affecting productivity.,0,4,Payments & Checkout,2026-06-29
OP0244,2026-07-02,HR,employee approval requests remain pending for several days during peak usage. the issue was reported by several employees.,5,2,Employee Approvals,2026-06-29
OP0966,2026-07-02,HR,routine employee requests require excessive approval time during normal business hours. the team says it is affecting productivity.,5,2,Employee Approvals,2026-06-29
OP0647,2026-07-02,Facilities,meeting rooms are unavailable despite being reserved during remote access. the issue was noticed during normal operations.,7,8,Meeting Room Management,2026-06-29
OP0154,2026-07-02,Database,database response time becomes slow during peak usage when workload increases. the team says it is affecting productivity.,6,0,Database & Performance,2026-06-29
OP0728,2026-07-02,Security,accounts are generating unexpected security alerts during normal business hours. several users have described similar behavior.,7,3,Security & Authentication,2026-06-29
OP0664,2026-07-02,Operations,inventory updates are not reflected quickly in the system during the afternoon. the team says it is affecting productivity.,4,5,Inventory & Synchronization,2026-06-29
OP0201,2026-07-02,Operations,inventory updates are not reflected quickly in the system during normal business hours. the problem is causing delays for routine work.,2,5,Inventory & Synchronization,2026-06-29
OP0994,2026-07-02,Operations,inventory records are becoming inconsistent across systems when workload increases. the team has requested investigation.,4,5,Inventory & Synchronization,2026-06-29
OP0502,2026-07-02,IT,vpn connection drops during remote work near the end of the workday. the problem is causing delays for routine work.,2,7,Network & VPN,2026-06-29
OP0807,2026-07-02,IT,vpn connection drops during remote work during remote access. several users have described similar behavior.,4,7,Network & VPN,2026-06-29
OP0601,2026-07-03,IT,vpn connection drops during remote work during normal business hours. the problem has occurred repeatedly this week.,4,7,Network & VPN,2026-06-29
OP0503,2026-07-03,IT,internal applications become unreachable from remote locations when workload increases. several users have described similar behavior.,4,7,Network & VPN,2026-06-29
OP0561,2026-07-03,DevOps,production releases are being delayed by failed deployments during the afternoon. the issue was reported by several employees.,6,6,Deployment & CI,2026-06-29
