problem_category,Previous Week,Latest Week,Growth (%),Frequency Score,Growth Score,Recency Score,Risk Score,Risk Level
Internal Communication,9,22,144.44444444444443,40.0,36.11111111111111,19,95.11111111111111,CRITICAL 🔴
Deployment & CI,5,13,160.0,23.636363636363637,40.0,20,83.63636363636364,CRITICAL 🔴
Network & VPN,14,13,-7.142857142857142,23.636363636363637,0.0,20,43.63636363636364,MODERATE 🟡
Inventory & Synchronization,9,10,11.11111111111111,18.18181818181818,2.7777777777777777,19,39.95959595959596,MODERATE 🟡
Product & UI Usability,16,9,-43.75,16.363636363636363,0.0,20,36.36363636363636,MODERATE 🟡
Employee Approvals,9,8,-11.11111111111111,14.545454545454547,0.0,20,34.54545454545455,MODERATE 🟡
Payments & Checkout,7,7,0.0,12.727272727272727,0.0,20,32.72727272727273,MODERATE 🟡
Meeting Room Management,10,6,-40.0,10.909090909090908,0.0,19,29.909090909090907,LOW 🟢
Security & Authentication,11,6,-45.45454545454545,10.909090909090908,0.0,19,29.909090909090907,LOW 🟢
Database & Performance,9,5,-44.44444444444444,9.09090909090909,0.0,20,29.09090909090909,LOW 🟢
